identificacion,Tiempo_real,Tiempo_asignado,permitir_Gastos,permitir_tiempo,Fecha_de_finalizacion_calculada,divisa,Titulo_de_proyecto,fecha_de_inicio,filial
11475,00:00.0,0:00:00,1,0,2008-12-18,1,9 Web Store Update,2008-10-27,1
11509,00:00.0,0:00:00,1,0,2009-01-02,2,10 Web Store Implementation,2008-10-27,1
11510,01:29.8,0:00:00,1,0,2009-01-09,2,11 Sales Order Automation,2008-10-27,1
11511,00:04.0,0:00:00,1,0,0000-00-00,2,12 Packing Slip Script,2008-10-29,1
11512,02:19.4,0:00:00,1,1,2010-05-03,2,13 Remote Administration,2008-11-03,1
11513,00:00.0,0:00:00,1,1,2009-10-06,2,14 Item Import & Configuration,2008-10-27,1
11514,02:10.5,0:00:00,1,1,2009-03-20,2,15 TipTemp,2008-10-27,1
15130,00:53.7,0:00:00,1,1,2010-03-26,2,16 Mind Place Remote Administration,2008-11-12,1
15138,09:18.3,0:00:00,1,1,2011-09-23,2,17 Remote Administration,2008-11-16,1
15139,00:55.0,0:00:00,1,1,2009-01-06,2,18 OverDrive Integration,2008-11-17,1
15142,01:33.0,0:00:00,1,0,2008-12-25,2,19 Great Plains & Solomon Data Import,2008-11-12,1
15143,00:42.3,0:00:00,1,1,2009-02-09,2,20 Remote Admin Dec08 to Sep09,2008-11-19,1
15146,00:32.1,0:00:00,1,0,2008-12-16,2,21 WebStore Modifications (Try Free),2008-11-20,1
15147,02:33.8,0:00:00,1,1,2009-07-24,2,22 Graceland Remote Administration,2008-11-17,1
15161,00:08.0,0:00:00,1,1,2009-01-06,2,23 Wireless Sales Automation,2008-11-30,1
15170,00:38.5,0:00:00,1,1,2009-04-28,1,24 System Use Monitor,2008-12-01,1
15201,00:00.0,0:00:00,1,1,0000-00-00,1,25 Front Door Organics Remote Administration,2009-01-08,1
15202,00:01.0,0:00:00,1,1,0000-00-00,2,26 VideSante Remote Administration,2009-01-05,1
15210,01:54.5,0:00:00,1,1,2009-10-01,1,301 TorStar Digital Remote Administration,2009-01-19,1
15224,13:11.9,0:00:00,1,1,2011-10-06,1,302 Pre-Sales Consulting Time,2009-01-19,1
15225,42:07.9,0:00:00,1,1,2011-09-09,1,303 Kuspide Internal,2009-01-29,1
15226,01:33.0,0:00:00,1,1,2009-05-05,2,304 QuoteCast,2009-01-29,1
15227,00:07.3,0:00:00,1,1,2009-04-29,1,305 Shipping Script Updates,2009-01-30,1
15228,00:10.0,0:00:00,1,1,2009-02-06,1,306 Test Project - Time & Materials,2009-01-30,1
15232,01:48.8,0:00:00,1,1,2009-06-11,2,307 Partners Lead Routing,2009-02-02,1
15233,49:15.0,0:00:00,1,1,2011-09-25,1,308 Trajectory Internal,2009-02-02,1
15239,00:23.5,0:00:00,1,1,2009-07-02,2,309 Rayco International Remote Administration,2009-02-08,1
15263,00:01.0,0:00:00,0,1,2009-02-23,2,310 Hylomar Remote Admin,2009-02-01,1
15264,02:54.3,0:00:00,0,1,2009-08-24,2,311 TYRX Reporting,2009-02-01,1
15271,00:00.0,0:00:00,0,1,2009-04-13,2,312 Typhoon Media Remote Administration,2009-02-23,1
15292,00:18.5,0:00:00,1,1,2009-05-07,2,313 Affinity VideoNet Remote Administration,2009-03-09,1
15312,02:37.5,0:00:00,1,1,2009-11-11,2,314 Report Development,2009-03-30,1
15316,02:55.7,0:00:00,1,1,2009-10-02,2,315 Forecasting Configuration,2009-03-20,1
15337,01:43.2,0:00:00,1,1,2009-08-07,2,316 Customer Data Integrity - Scripting,2009-03-31,1
15340,06:24.3,0:00:00,1,1,2011-02-14,2,317 RA - Scripting,2009-04-06,1
15373,00:59.8,0:00:00,1,1,2009-05-28,2,318 Fat Quarter World WebStore,2009-05-01,1
15450,02:02.8,0:00:00,1,1,2009-07-14,2,319 Playaway Discovery,2009-05-11,1
15473,09:07.0,0:00:00,1,1,2010-07-26,1,320 Olive Integration and Reporting,2009-05-27,1
15475,05:28.8,0:00:00,1,1,2011-10-12,1,321 FDO Remote Administration (May-09 to Apr-10),2009-05-28,1
15478,04:15.3,0:00:00,1,1,2010-04-16,2,322 rPath Implementation,2009-05-28,1
15525,00:00.0,0:00:00,1,1,0000-00-00,2,323 CLMG Fixed Asset Implementation,2009-06-10,1
15539,03:18.6,0:00:00,1,1,2010-11-09,1,324 N4 Systems,2009-06-21,1
15567,00:00.0,0:00:00,1,1,0000-00-00,2,325 Argo: Across Integration,2009-06-30,1
15571,00:13.5,0:00:00,1,1,2009-07-24,1,326 Adept Path (Internal),2009-07-02,1
15575,00:37.5,0:00:00,0,1,2009-10-28,1,327 TorStar Fulfillment changes,2009-07-07,1
15581,00:00.0,0:00:00,0,1,2009-11-23,2,328 OHP - RA 2009,2009-07-10,1
15584,00:00.0,0:00:00,1,1,2011-05-10,2,329 CLMG RA (Original 6 months + Extension),2009-07-10,1
15596,00:00.0,0:00:00,1,1,0000-00-00,2,330 No Project/License Sale,2009-07-17,1
15600,00:00.0,0:00:00,1,1,2010-04-22,2,331 NetSuite Optimization,2009-07-21,1
15608,00:00.0,0:00:00,1,1,2011-05-27,2,332 Graceland Remote Administration Aug 09 - July 10,2009-07-29,1
15613,00:00.0,0:00:00,1,1,2009-11-17,2,333 TransWorld Implementation,2009-08-05,1
15635,02:09.4,0:00:00,1,1,2011-08-13,2,334 Fast Dry/10-S RA,2009-08-18,1
15637,01:01.8,0:00:00,1,1,2010-10-08,2,335 EDVOTek Web Store,2009-08-20,1
