jornada,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante
1,Atletico de Bilbao,Barcelona,1,1
1,Las Palmas,Atletico de Madrid,1,1
1,Real Madrid,Valencia,2,0
1,Celta de Vigo,Sporting de Gijon,2,0
1,Elche,Granada,1,1
1,Espanol,Sevilla,0,1
1,Sabadell,Real Sociedad,0,0
1,Zaragoza,CD Malaga,0,0
2,Valencia,Las Palmas,5,1
2,Atletico de Madrid,Atletico de Bilbao,2,0
2,Barcelona,Zaragoza,5,2
2,Sporting de Gijon,Sabadell,3,2
2,Granada,Espanol,1,0
2,CD Malaga,Celta de Vigo,2,1
2,Real Sociedad,Elche,2,0
2,Sevilla,Real Madrid,3,1
3,Las Palmas,Atletico de Bilbao,1,1
3,Real Madrid,Granada,3,2
3,Valencia,Sevilla,0,1
3,Celta de Vigo,Barcelona,1,1
3,Elche,Sporting de Gijon,5,0
3,Espanol,Real Sociedad,0,0
3,Sabadell,CD Malaga,5,2
3,Zaragoza,Atletico de Madrid,0,1
4,Atletico de Bilbao,Zaragoza,3,0
4,Atletico de Madrid,Celta de Vigo,3,1
4,Barcelona,Sabadell,4,1
4,Sporting de Gijon,Espanol,0,1
4,Granada,Valencia,2,2
4,Las Palmas,Sevilla,0,0
4,CD Malaga,Elche,1,0
4,Real Sociedad,Real Madrid,0,0
5,Celta de Vigo,Atletico de Bilbao,2,1
5,Elche,Barcelona,0,1
5,Espanol,CD Malaga,1,1
5,Real Madrid,Sporting de Gijon,1,1
5,Sabadell,Atletico de Madrid,0,2
5,Sevilla,Granada,1,0
5,Valencia,Real Sociedad,0,0
5,Zaragoza,Las Palmas,1,1
6,Atletico de Bilbao,Sabadell,1,0
6,Atletico de Madrid,Elche,3,1
6,Barcelona,Espanol,3,0
6,Sporting de Gijon,Valencia,0,1
6,Granada,Las Palmas,1,0
6,CD Malaga,Real Madrid,0,2
6,Real Sociedad,Sevilla,1,0
6,Zaragoza,Celta de Vigo,0,0
7,Elche,Atletico de Bilbao,1,1
7,Espanol,Atletico de Madrid,0,0
7,Granada,Real Sociedad,2,0
7,Las Palmas,Celta de Vigo,1,2
7,Real Madrid,Barcelona,0,1
7,Sabadell,Zaragoza,2,1
7,Sevilla,Sporting de Gijon,1,1
7,Valencia,CD Malaga,1,0
8,Barcelona,Valencia,0,2
8,Atletico de Bilbao,Espanol,2,0
8,Atletico de Madrid,Real Madrid,2,2
8,Celta de Vigo,Sabadell,1,0
8,Sporting de Gijon,Granada,3,2
8,Las Palmas,Real Sociedad,4,2
8,CD Malaga,Sevilla,1,1
8,Zaragoza,Elche,1,1
9,Elche,Celta de Vigo,1,1
9,Espanol,Zaragoza,0,0
9,Granada,CD Malaga,1,1
9,Real Sociedad,Sporting de Gijon,3,1
